Sample alias,EPI_ISL_ID,EPI_SET_ID,Lineage group,Sample collection date
hCoV-19/Denmark/DCGC-110304/2021,EPI_ISL_3074148,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110306/2021,EPI_ISL_2675549,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110307/2021,EPI_ISL_3074149,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110312/2021,EPI_ISL_2675554,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110318/2021,EPI_ISL_3074150,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110319/2021,EPI_ISL_3074151,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110320/2021,EPI_ISL_2675558,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110323/2021,EPI_ISL_2675560,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110333/2021,EPI_ISL_3074153,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110347/2021,EPI_ISL_2675580,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110363/2021,EPI_ISL_2675587,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110364/2021,EPI_ISL_2675588,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110390/2021,EPI_ISL_2675608,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110391/2021,EPI_ISL_3074160,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110402/2021,EPI_ISL_2675614,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110405/2021,EPI_ISL_2675616,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110412/2021,EPI_ISL_2675622,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110417/2021,EPI_ISL_3074163,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110422/2021,EPI_ISL_2675629,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110427/2021,EPI_ISL_3074166,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110437/2021,EPI_ISL_2675640,EPI_SET_230103mu,Alpha,2021-06-07
